Frame,X,Y
0,368.0,552.0
1,366.0,552.0
2,366.0,550.0
3,364.0,550.0
4,364.0,550.0
5,364.0,548.0
6,362.0,546.0
7,362.0,546.0
8,360.0,544.0
9,360.0,544.0
10,358.0,542.0
11,358.0,540.0
12,356.0,540.0
13,356.0,538.0
14,354.0,536.0
15,354.0,534.0
16,352.0,534.0
17,352.0,532.0
18,350.0,530.0
19,348.0,528.0
20,348.0,526.0
21,346.0,524.0
22,344.0,524.0
23,344.0,522.0
24,342.0,520.0
25,342.0,518.0
26,340.0,516.0
27,338.0,514.0
28,338.0,512.0
29,336.0,512.0
30,334.0,510.0
31,332.0,508.0
32,332.0,506.0
33,330.0,504.0
34,328.0,502.0
35,328.0,500.0
36,326.0,498.0
37,324.0,496.0
38,324.0,494.0
39,322.0,494.0
40,322.0,492.0
41,320.0,490.0
42,318.0,488.0
43,316.0,486.0
44,316.0,484.0
45,314.0,484.0
46,314.0,482.0
47,312.0,480.0
48,312.0,478.0
49,310.0,476.0
50,310.0,476.0
51,308.0,474.0
52,308.0,472.0
53,306.0,472.0
54,306.0,470.0
55,304.0,468.0
56,304.0,468.0
57,302.0,466.0
58,302.0,466.0
59,302.0,464.0
60,300.0,464.0
61,300.0,462.0
62,300.0,462.0
63,298.0,462.0
64,298.0,460.0
65,298.0,460.0
66,296.0,460.0
67,298.0,458.0
68,296.0,458.0
69,296.0,458.0
70,296.0,458.0
71,296.0,456.0
72,296.0,456.0
73,296.0,456.0
74,296.0,456.0
75,296.0,456.0
76,296.0,456.0
77,296.0,458.0
78,296.0,458.0
79,296.0,458.0
80,296.0,458.0
81,296.0,458.0
82,296.0,458.0
83,296.0,460.0
84,298.0,460.0
85,298.0,460.0
86,298.0,462.0
87,300.0,462.0
88,300.0,464.0
89,300.0,464.0
90,302.0,464.0
91,302.0,466.0
92,302.0,468.0
93,302.0,468.0
94,304.0,468.0
95,306.0,470.0
96,306.0,472.0
97,308.0,474.0
98,308.0,474.0
99,310.0,476.0
100,310.0,478.0
101,312.0,478.0
102,312.0,480.0
103,314.0,482.0
104,316.0,484.0
105,316.0,484.0
106,318.0,486.0
107,318.0,488.0
108,320.0,490.0
109,322.0,492.0
110,322.0,494.0
111,324.0,496.0
112,326.0,496.0
113,326.0,498.0
114,328.0,500.0
115,330.0,502.0
116,330.0,504.0
117,332.0,506.0
118,334.0,508.0
119,334.0,510.0
120,336.0,512.0
121,336.0,514.0
122,338.0,514.0
123,340.0,516.0
124,342.0,518.0
125,342.0,520.0
126,344.0,522.0
127,346.0,524.0
128,346.0,526.0
129,348.0,528.0
130,348.0,528.0
131,350.0,530.0
132,352.0,532.0
133,352.0,534.0
134,354.0,536.0
135,354.0,536.0
136,356.0,538.0
137,356.0,540.0
138,358.0,542.0
139,358.0,544.0
140,360.0,544.0
141,360.0,546.0
142,362.0,546.0
143,362.0,548.0
144,364.0,548.0
145,364.0,550.0
146,364.0,550.0
147,366.0,552.0
148,366.0,552.0
149,366.0,554.0
150,366.0,554.0
151,368.0,554.0
152,368.0,556.0
153,368.0,556.0
154,370.0,556.0
155,370.0,556.0
156,370.0,556.0
157,370.0,558.0
158,370.0,558.0
159,370.0,558.0
160,370.0,558.0
161,370.0,558.0
162,370.0,558.0
163,370.0,558.0
164,370.0,558.0
165,370.0,558.0
166,370.0,558.0
167,370.0,556.0
168,370.0,556.0
169,368.0,556.0
170,368.0,556.0
171,368.0,554.0
172,368.0,554.0
173,366.0,554.0
174,366.0,552.0
175,366.0,552.0
176,366.0,552.0
177,364.0,550.0
178,364.0,548.0
179,362.0,548.0
180,362.0,546.0
181,360.0,546.0
182,360.0,544.0
183,360.0,542.0
184,358.0,542.0
185,358.0,540.0
186,356.0,540.0
187,356.0,538.0
188,354.0,538.0
189,352.0,536.0
190,352.0,534.0
191,350.0,532.0
192,350.0,530.0
193,348.0,528.0
194,346.0,526.0
195,346.0,526.0
196,344.0,524.0
197,344.0,522.0
198,342.0,520.0
199,340.0,518.0
200,340.0,516.0
201,338.0,514.0
202,336.0,512.0
203,336.0,512.0
204,334.0,510.0
205,332.0,508.0
206,332.0,506.0
207,330.0,504.0
208,328.0,502.0
209,328.0,500.0
210,326.0,498.0
211,324.0,496.0
212,324.0,494.0
213,322.0,494.0
214,320.0,492.0
215,320.0,490.0
216,318.0,488.0
217,318.0,486.0
218,316.0,484.0
219,314.0,484.0
220,314.0,480.0
221,312.0,480.0
222,312.0,478.0
223,310.0,478.0
224,310.0,476.0
225,308.0,474.0
226,308.0,474.0
227,306.0,472.0
